"DONE","ID","ISO","country","name_1","name_2","abbr_1","founded","website","Facebook","Twitter","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
1,10214,"GTM","Guatemala","Organismo Naleb'",NA,"Naleb'",2005,"http://naleb.org.gt/","https://www.facebook.com/organismonaleb","https://twitter.com/organismonaleb","0","0",NA,NA,"0","0","0",NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA
1,10227,"GIN","Guinea","Reseau Afrique Jeunesse",NA,"RAJ-Gui",2004,NA,"https://www.facebook.com/profile.php?id=100007369669039",NA,NA,NA,NA,"0",NA,"0",NA,NA,"0",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,"DK",NA,NA,"DK",NA,"DK",NA,NA,NA,NA,"1",NA
1,10228,"GIN","Guinea","Réseau des Organisations de la Société Civile pour l’Observation et le Suivi des Élections",NA,"ROSE",2009,"http://www.roseguinee.org/",NA,NA,NA,NA,NA,"0",NA,"0",NA,NA,"0",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,"DK",NA,NA,"1",NA,"1",NA,NA,NA,NA,"DK",NA
1,10229,"GIN","Guinea","WANEP-Guineé",NA,"WANEP-Guineé",2003,"http://www.wanepguinea.org/","https://www.facebook.com/wanepguinee/",NA,NA,NA,NA,"0",NA,"0",NA,NA,"0",NA,NA,NA,"0","DK",NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA
1,10234,"HTI","Haiti","Conseil National d'Observation des Elections",NA,"KOZEPÈP",NA,"http://www.cnohaiti.org/",NA,NA,"DK","DK",NA,NA,NA,"DK",NA,"DK",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"1","1",NA,NA,NA,"1","0",NA,NA,NA,NA,NA
1,10239,"HND","Honduras","Hagamos Democracia",NA,"HD",2009,"https://hagamosdemocracia.wordpress.com/",NA,NA,NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,"0",NA,NA,NA,"0"
1,10241,"IND","India","Association for Democratic Reform",NA,"ADR",1999,"http://adrindia.org/","https://www.facebook.com/adr.new","https://twitter.com/adrspeaks",NA,"0",NA,NA,NA,NA,"0",NA,"0","0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA
1,10244,"IND","India","National Dalit Election Watch",NA,"NDEW",NA,"http://www.ncdhr.org.in/ndmj/key-activities/national-dalit-election-watch/","https://www.facebook.com/NCDHR","https://twitter.com/DalitRights",NA,"0",NA,NA,NA,NA,"0",NA,"0","0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA
1,10245,"IND","India","Programme for Comparative Democracy",NA,"Lokniti",NA,"http://www.lokniti.org/",NA,NA,NA,"0",NA,NA,NA,NA,"1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA
1,10248,"IDN","Indonesia","Community for ACEH Resources Development",NA,"e-CARD",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"DK",NA,NA,NA,NA,"DK",NA,NA
